track_id,title,artist_id,album_id,popularity,duration_ms,danceability,energy,acousticness,instrumentalness,liveness,track_genre
vIyXxy,Darkside,alan_w1K,darksi_KJJ,62,211866,0.425,0.642,0.164,0.0,0.118,house
uFpD5V,Black Rose,solomuzV,member_3Tl,39,285873,0.739,0.683,0.00707,0.943,0.12,minimal-techno
ZIVv,Extreme Rain,tmsoftuk,extrem_H1H,31,590000,0.0,0.0353,0.0,4.8e-05,0.424,sleep
u6OK,瞳の中にレインボウ,サザンオールQi,熱い胸さわぎ_mhl,37,291240,0.56,0.752,0.201,0.0,0.223,j-pop
Y9xr,Hang Your Lights,jamie_xZ,weihna_41m,0,296680,0.346,0.605,0.188,0.0,0.241,j-pop
wi7Uz,Heaven's a Lie,lacuna4l,comali_2Ki,51,286533,0.426,0.881,0.0011,0.00279,0.124,goth
opdt,Perfect Time,maire_Bl,perfec_mHH,48,285773,0.18,0.273,0.847,3.09e-05,0.173,new-age
RkDEr,Graffiti - Ao Vivo,vera_lxG,vera_l_ZSI,42,227480,0.415,0.877,0.221,0.0,0.97,r-n-b
R33jK1,Perreito,mariah1v,feliz__nnJ,0,123680,0.737,0.607,0.194,0.11,0.132,latin
u8MUIO,Let's Make Rock,dream_ZG,the_bo_w0e,21,244000,0.464,0.939,1.17e-05,0.0031,0.081,heavy-metal
oAIUKo,A hora do Brasil,resgatUN,ainda__dZ9,38,208053,0.576,0.932,0.0281,0.0,0.239,gospel
KHRzf,Step to This,kraftyDL,start__7V5,11,231428,0.668,0.905,0.00234,0.47,0.343,breakbeat
DFiuw,Lazy Girl Loop,casino5A,suicid_0qS,9,137707,0.259,0.0691,0.625,0.761,0.106,idm
J5EA2i,Talk Dirty To Me,reel_bmO,"fame,__n0m",32,223093,0.672,0.804,0.565,0.0,0.0667,ska
EZnDhB,Gimme o Anel / Sheik - Ao Vivo - Chegou Quem Faltava,charli24,chegou_Smc,36,157690,0.501,0.961,0.0108,0.0152,0.697,hard-rock
8gkLCe,Não Quero Despedida / Quero Mais - Ao Vivo,mumuziug,resenh_Bxl,42,227683,0.535,0.751,0.565,0.0,0.368,pagode
NVsl,I'm In The Mood For Love,julie_M0,desayu_QcG,0,149826,0.58,0.0545,0.963,0.000265,0.0967,jazz
69VRQ,"Man Returns - From ""Bambi""/Score",larry_8n,bambi_syl,20,123533,0.239,0.229,0.845,0.717,0.633,disney
3ZhvO4,Cali Spaces - Kaskade Remix,mark_f4q,cali_s_LHV,6,368268,0.829,0.847,0.000216,0.918,0.0481,chicago-house
i3GC5n,Declaração de Amor (Ao Vivo),calcinPg,calcin_tUg,46,198426,0.546,0.864,0.142,0.0,0.825,sertanejo
Fv1eMt,Too Much Heaven,gail_bMe,love_l_RTv,27,294853,0.664,0.45,0.781,1.71e-05,0.311,acoustic
